parameter,value,n_reps,viable_rate,viable_ci_lower,viable_ci_upper,healthy_rate,healthy_ci_lower,healthy_ci_upper,no_crash_rate,no_crash_ci_lower,no_crash_ci_upper,low_var_rate,low_var_ci_lower,low_var_ci_upper,stability_mean,stability_std,stability_se,stability_ci_lower,stability_ci_upper,fish_mean,fish_std,fish_se,fish_ci_lower,fish_ci_upper,cv_mean,cv_std,cv_se,cv_ci_lower,cv_ci_upper,persist_viable_mean,persist_viable_std,persist_viable_se,persist_viable_ci_lower,persist_viable_ci_upper,persist_healthy_mean,persist_healthy_std,persist_healthy_se,persist_healthy_ci_lower,persist_healthy_ci_upper
scale,3.513793103448276,15,1.0,1.0,1,0.0,0,0.0,0.13333333333333333,0.0,0.3053639938219455,1.0,1.0,1.0,0.6133333333333333,0.03518657752744983,0.009085135251589957,0.5955264682402169,0.6311401984264496,14.52725925925926,0.34509331270518556,0.0891027101996488,14.352617947267948,14.701900571250572,0.35175461553171206,0.028593466817058488,0.007382801386186795,0.33728432481478593,0.3662249062486382,0.845111111111111,0.024709243962804772,0.006379899357687936,0.8326065083700427,0.8576157138521794,0.16155555555555556,0.026559971738792043,0.006857755214672082,0.14811435533479828,0.17499675577631285
scale,3.855172413793104,15,1.0,1.0,1,0.0,0,0.0,0.13333333333333333,0.0,0.3053639938219455,0.8666666666666667,0.6946360061780545,1.0,0.5933333333333333,0.07037315505489966,0.018170270503179913,0.5577196031471007,0.6289470635195659,14.484148148148149,0.45330774645086025,0.11704355684739973,14.254742776727246,14.713553519569052,0.36282971101822387,0.03615045488835677,0.00933400731602855,0.3445350566788079,0.3811243653576398,0.8318518518518518,0.03453818954912058,0.008917722195459938,0.8143731163487503,0.8493305873549534,0.16592592592592592,0.03252096506446695,0.00839687707315158,0.14946804686254883,0.182383804989303
scale,4.196551724137931,15,1.0,1.0,1,0.0,0,0.0,0.3333333333333333,0.09476973050886098,0.5718969361578057,1.0,1.0,1.0,0.5999999999999999,0.0654653670707977,0.016903085094570326,0.5668699532146421,0.6331300467853577,14.131185185185187,0.4477650686814845,0.11561244360112065,13.90458479572699,14.357785574643383,0.35575563536014715,0.026215295232020538,0.006768760123301749,0.34248886551847574,0.36902240520181856,0.8188888888888889,0.03394673699166023,0.008765009801785555,0.8017094696773892,0.8360683081003886,0.14585185185185184,0.026362239398024918,0.006806700943818903,0.1325107180019668,0.1591929857017369
scale,4.537931034482758,15,1.0,1.0,1,0.0,0,0.0,0.26666666666666666,0.0428741701850342,0.4904591631482991,0.9333333333333333,0.8070973403443054,1.0,0.6133333333333333,0.07432233529572063,0.019189944456771312,0.5757210421980615,0.650945624468605,14.20340740740741,0.3598335071269268,0.09290861203399968,14.02130652782077,14.38550828699405,0.3409942348650773,0.03475925744935934,0.008974801681860321,0.32340362356863106,0.35858484616152353,0.8388148148148147,0.02811059873636407,0.007258125383857153,0.8245888890624546,0.8530407405671747,0.13770370370370372,0.031239719061335335,0.00806606077765001,0.1218942245795097,0.15351318282789775
scale,4.879310344827586,15,1.0,1.0,1,0.0,0,0.0,0.3333333333333333,0.09476973050886098,0.5718969361578057,1.0,1.0,1.0,0.6199999999999999,0.06761234037828132,0.017457431218879386,0.5857834348109963,0.6542165651890035,14.433333333333334,0.42510482159985274,0.10976159296324697,14.21820061112537,14.648466055541297,0.3550029105179025,0.019542417284495347,0.005045830445832429,0.34511308284407094,0.36489273819173407,0.836,0.027758088259907193,0.007167107570211745,0.821952469162385,0.850047530837615,0.15948148148148145,0.02462009999831645,0.00635688248502939,0.14702199181082384,0.17194097115213905
scale,5.220689655172413,15,1.0,1.0,1,0.0,0,0.0,0.13333333333333333,0.0,0.3053639938219455,1.0,1.0,1.0,0.6066666666666666,0.025819888974716113,0.006666666666666666,0.5935999999999999,0.6197333333333332,14.584666666666667,0.3876804808122559,0.10009866972237008,14.388473274010822,14.780860059322512,0.3452251628048389,0.023259503392399312,0.0060055779519878295,0.33345423001894275,0.35699609559073503,0.8511111111111108,0.026877473636211714,0.006939733852078458,0.8375092327610371,0.8647129894611846,0.15703703703703703,0.02056377641987674,0.005309544240621026,0.14663033032541983,0.16744374374865423
scale,5.562068965517241,15,1.0,1.0,1,0.0,0,0.0,0.2,0.0,0.4024279295617743,0.8666666666666667,0.6946360061780545,1.0,0.5933333333333333,0.05936168397046635,0.015327120894696263,0.5632921763797286,0.6233744902869379,14.561407407407408,0.5806417824120628,0.1499210635596073,14.267562122830578,14.855252691984239,0.3601916256772648,0.03201723125441362,0.008266813562667704,0.3439886710944361,0.37639458026009354,0.8371111111111111,0.03189157114984528,0.008234368263182646,0.8209717493152732,0.8532504729069491,0.16799999999999998,0.04060216934109337,0.010483435045196532,0.1474524673114148,0.18854753268858518
scale,5.903448275862069,15,1.0,1.0,1,0.0,0,0.0,0.4,0.15207743144279912,0.647922568557201,0.9333333333333333,0.8070973403443054,1.0,0.6333333333333332,0.061721339984836754,0.01593638145779191,0.6020980256760611,0.6645686409906053,14.605481481481483,0.4296917533993961,0.11094593366123501,14.388027451505463,14.822935511457503,0.3574699570920836,0.027080535418537006,0.006992164178824928,0.34376531530158677,0.3711745988825805,0.8497777777777779,0.02287223928271993,0.005905586788829691,0.8382028276716716,0.8613527278838841,0.15829629629629632,0.030633714371623856,0.007909591039584933,0.14279349785870984,0.1737990947338828
scale,6.244827586206896,15,1.0,1.0,1,0.0,0,0.0,0.26666666666666666,0.0428741701850342,0.4904591631482991,0.8,0.5975720704382257,1.0,0.5933333333333334,0.09611501047232544,0.024816788991991193,0.5446924269090306,0.6419742397576361,14.523925925925926,0.4656106469405372,0.12022015209450412,14.288294427820698,14.759557424031154,0.36249865862296127,0.02916548239240969,0.0075304951726605585,0.34773888808454656,0.377258429161376,0.8352592592592594,0.039950292453710255,0.010315121156622377,0.8150416217922795,0.8554768967262393,0.16807407407407407,0.027804643093242935,0.007179127976491398,0.15400298324015094,0.1821451649079972
scale,6.586206896551724,15,0.9333333333333333,0.8070973403443054,1,0.0,0,0.0,0.2,0.0,0.4024279295617743,0.8666666666666667,0.6946360061780545,1.0,0.5733333333333334,0.1667618775665584,0.043057731639837386,0.4889401793192521,0.6577264873474147,13.63651851851852,3.5801321955105205,0.9243861580288828,11.824721648781908,15.44831538825513,0.5806436044353792,0.8861558848552172,0.22880446561253023,0.13218685183481999,1.0291003570359385,0.7900740740740739,0.2087814088006587,0.05390712795217825,0.6844161032878046,0.8957320448603433,0.14740740740740746,0.05244240422899081,0.013540570547597254,0.12086788913411683,0.17394692568069808
