time_step,total_fish_mean,total_fish_ci,mpa_fish_mean,mpa_fish_ci,outside_fish_mean,outside_fish_ci,cooperation_mean,cooperation_ci,trust_mean,trust_ci,fully_noncoop_mean,fully_noncoop_ci,noncoop_mean,noncoop_ci,cond_coop_mean,cond_coop_ci,coop_mean,coop_ci,fully_coop_mean,fully_coop_ci
62,13.96,1.214542273615867,4.27,0.5184598283377411,9.69,0.9423075837538402,0.7134054054054053,0.006715635982549202,0.9486107357357356,0.0015497506154171228,15.58,1.6193870623170974,8.06,1.4998342116380732,3.77,0.9512988771148635,8.98,1.2944846671938608,0.61,0.18364478320932517
63,13.68,1.2176885486855826,4.38,0.5458380067382633,9.3,0.8936826282299553,0.7174594594594597,0.0056556780097688246,0.9484080330330332,0.0015148418580520928,15.58,1.6193870623170974,8.06,1.4998342116380732,3.77,0.9512988771148635,8.98,1.2944846671938608,0.61,0.18364478320932517
64,13.42,1.2823194210492175,3.99,0.5077081035398193,9.43,0.9808835616932321,0.7211891891891891,0.005155944118642617,0.9480822072072069,0.001499892927261964,15.58,1.6193870623170974,8.06,1.4998342116380732,3.77,0.9512988771148635,8.98,1.2944846671938608,0.61,0.18364478320932517
65,12.93,1.2430959100568226,4.09,0.5111768680212359,8.84,0.9390507070440874,0.6801621621621624,0.008026837121422704,0.9480716966966962,0.001451850149012037,16.3,1.7175461100069473,8.3,1.6301026716130493,3.72,1.0184760505775285,8.2,1.3434223758743928,0.48,0.16038501675655373
66,12.75,1.210567784140979,4.08,0.46106266125115775,8.67,0.9602219835017317,0.7095675675675678,0.006760405746788619,0.9469740990990995,0.0014452209312313994,16.3,1.7175461100069473,8.3,1.6301026716130493,3.72,1.0184760505775285,8.2,1.3434223758743928,0.48,0.16038501675655373
67,12.6,1.259595490623875,4.2,0.5237272572627856,8.4,0.9489315254537599,0.718162162162162,0.005543757659001566,0.9471077327327329,0.0014150045547137227,16.3,1.7175461100069473,8.3,1.6301026716130493,3.72,1.0184760505775285,8.2,1.3434223758743928,0.48,0.16038501675655373
68,12.82,1.315211116741339,4.43,0.5282954491570034,8.39,0.9641506761912269,0.7228648648648648,0.005275757070705737,0.9470889639639642,0.001390735311962676,16.3,1.7175461100069473,8.3,1.6301026716130493,3.72,1.0184760505775285,8.2,1.3434223758743928,0.48,0.16038501675655373
69,12.9,1.3268780200154053,4.3,0.49078337380151743,8.6,1.0158020279562354,0.7246486486486488,0.0048175009127719,0.9471542792792791,0.0013701488283133318,16.3,1.7175461100069473,8.3,1.6301026716130493,3.72,1.0184760505775285,8.2,1.3434223758743928,0.48,0.16038501675655373
70,13.13,1.4151837935759437,4.34,0.526813582209115,8.79,1.0661012777405345,0.6850810810810813,0.0074398197359501345,0.9471929429429428,0.0013476524230492995,17.14,1.8338353269582306,8.28,1.6513113412073448,3.35,0.9746443659099457,7.84,1.3618037121406301,0.39,0.1463976994354761
71,13.05,1.397625686655765,4.37,0.5745542007504599,8.68,0.9904809143037537,0.7107027027027025,0.006542074230725402,0.9462597597597596,0.0014420748945206743,17.14,1.8338353269582306,8.28,1.6513113412073448,3.35,0.9746443659099457,7.84,1.3618037121406301,0.39,0.1463976994354761
