parameter,value,stability_probability,mean_fish_population,mean_cv,mean_persistence,crash_probability,n_reps
cooperation_increase,0.37142857142857144,0.0,14.206666666666665,0.38886335378405557,0.5812499999999999,0.3333333333333333,3
cooperation_increase,0.4035714285714286,0.0,14.084583333333333,0.36418694360498005,0.5829166666666666,0.6666666666666666,3
cooperation_increase,0.4357142857142858,0.0,14.334583333333333,0.35400377940990563,0.5975,0.0,3
cooperation_increase,0.4678571428571429,0.0,14.77125,0.35325575173313206,0.65125,0.3333333333333333,3
cooperation_increase,0.5,0.0,14.59125,0.34804426422129237,0.6266666666666667,0.0,3
q,0.2,0.0,14.33375,0.33359550509584973,0.61875,0.0,3
q,0.2571428571428572,0.0,14.2575,0.34354700265429455,0.6195833333333334,0.0,3
q,0.3142857142857143,0.0,14.02875,0.3519209141471249,0.6070833333333333,0.3333333333333333,3
q,0.37142857142857144,0.0,14.817083333333334,0.3400380275606876,0.6425,0.0,3
q,0.4285714285714286,0.0,14.245416666666666,0.38721384151515875,0.5841666666666666,0.3333333333333333,3
q,0.48571428571428577,0.0,15.1425,0.3217711388879948,0.6820833333333334,0.3333333333333333,3
q,0.5428571428571429,0.0,14.327916666666667,0.352618067611945,0.6429166666666667,0.3333333333333333,3
q,0.6000000000000001,0.0,14.494583333333333,0.3474084689326511,0.61,0.3333333333333333,3
q,0.6571428571428573,0.0,13.824166666666668,0.3496328965702091,0.565,0.0,3
q,0.7142857142857144,0.0,14.115,0.341796500582092,0.6062500000000001,0.0,3
q,0.7714285714285716,0.0,14.28875,0.370257088199543,0.6066666666666666,0.3333333333333333,3
q,0.8285714285714287,0.0,14.07625,0.3283845467084114,0.6074999999999999,0.0,3
q,0.8857142857142857,0.0,14.1425,0.30688998674822004,0.6175,0.0,3
q,0.9428571428571428,0.0,14.256666666666668,0.32465296412593586,0.6295833333333333,0.0,3
q,1.0,0.0,14.443333333333333,0.3485014611696309,0.62375,0.0,3
trust_decrease,0.05,0.0,14.298333333333332,0.34601100141922575,0.6016666666666667,0.0,3
trust_decrease,0.08214285714285716,0.0,14.4,0.32897345121123855,0.6145833333333334,0.0,3
trust_decrease,0.1142857142857143,0.0,14.434166666666664,0.3724147699414286,0.5854166666666667,0.0,3
trust_decrease,0.14642857142857146,0.0,14.150416666666667,0.350530478265035,0.6020833333333334,0.0,3
trust_decrease,0.1785714285714286,0.0,14.235833333333332,0.3366581017727544,0.5995833333333334,0.0,3
trust_decrease,0.21071428571428574,0.0,14.475833333333334,0.3612923578922038,0.6120833333333333,0.0,3
trust_decrease,0.24285714285714288,0.0,14.735,0.37958493140750243,0.6262500000000001,0.3333333333333333,3
trust_decrease,0.275,0.0,14.472916666666668,0.3746099378017451,0.6008333333333334,0.0,3
trust_decrease,0.30714285714285716,0.0,14.451666666666668,0.3542703969064842,0.6108333333333333,0.0,3
trust_decrease,0.3392857142857143,0.0,14.112083333333336,0.35019998366453375,0.5812499999999999,0.0,3
trust_decrease,0.37142857142857144,0.0,14.28125,0.331913187034865,0.61875,0.6666666666666666,3
trust_decrease,0.4035714285714286,0.0,14.117083333333333,0.3499987827133457,0.5854166666666667,0.0,3
trust_decrease,0.4357142857142858,0.0,14.301666666666668,0.3405816937254585,0.6108333333333333,0.0,3
trust_decrease,0.4678571428571429,0.0,14.85125,0.3464915336444831,0.6658333333333334,0.3333333333333333,3
trust_decrease,0.5,0.0,14.649583333333332,0.35751998877864805,0.6241666666666666,0.3333333333333333,3
