parameter,value,stability_probability,quality_score,mean_fish_population,mean_persistence
scale,0.5,1.0,0.9996,14.132666666666665,0.9979999999999999
scale,0.8181818181818181,1.0,0.9989333333333333,13.700666666666669,0.9946666666666667
scale,1.1363636363636362,1.0,0.9988,14.739333333333335,0.9940000000000001
scale,1.4545454545454546,1.0,0.9985333333333334,14.200666666666665,0.9926666666666666
scale,1.7727272727272727,1.0,0.9994666666666667,13.402666666666667,0.9973333333333333
scale,2.090909090909091,1.0,0.9993333333333334,14.138,0.9966666666666667
scale,2.409090909090909,1.0,0.9994666666666667,14.357333333333335,0.9973333333333333
scale,2.727272727272727,1.0,0.9930666666666667,14.437333333333333,0.9653333333333333
scale,3.0454545454545454,1.0,0.9988,14.934,0.9940000000000001
scale,3.3636363636363638,1.0,0.9968,15.079333333333333,0.984
scale,3.6818181818181817,1.0,0.9994666666666667,14.674666666666667,0.9973333333333333
scale,4.0,1.0,0.9986666666666667,15.668666666666667,0.9933333333333333
imitation_period,1.0,1.0,0.9980000000000001,14.436666666666667,0.9899999999999999
imitation_period,2.0,1.0,0.9997333333333334,14.288666666666666,0.9986666666666667
imitation_period,3.0,1.0,1.0,14.884,1.0
imitation_period,4.0,1.0,0.9974666666666666,14.346666666666666,0.9873333333333333
imitation_period,6.0,1.0,1.0,14.13,1.0
imitation_period,7.0,1.0,1.0,14.578666666666665,1.0
imitation_period,8.0,1.0,0.9993333333333334,14.752,0.9966666666666667
imitation_period,9.0,1.0,0.9974666666666666,14.238,0.9873333333333333
imitation_period,11.0,1.0,0.9985333333333334,14.846000000000002,0.9926666666666666
imitation_period,12.0,1.0,0.9997333333333334,14.054666666666668,0.9986666666666667
imitation_period,13.0,1.0,0.9996,14.632666666666667,0.9979999999999999
imitation_period,15.0,1.0,0.9977333333333332,14.464,0.9886666666666667
cooperation_increase,0.05,1.0,0.9996,14.273333333333333,0.9979999999999999
cooperation_increase,0.09090909090909091,1.0,0.9994666666666667,15.256,0.9973333333333333
cooperation_increase,0.13181818181818183,1.0,0.9981333333333334,14.246666666666664,0.9906666666666667
cooperation_increase,0.17272727272727273,1.0,0.9994666666666667,14.368,0.9973333333333333
cooperation_increase,0.21363636363636362,1.0,0.9964000000000001,14.162666666666667,0.9819999999999999
cooperation_increase,0.2545454545454545,1.0,0.9992000000000001,14.508000000000001,0.996
cooperation_increase,0.29545454545454547,1.0,0.9978666666666668,14.288666666666666,0.9893333333333333
cooperation_increase,0.33636363636363636,1.0,0.9968,14.056666666666667,0.984
cooperation_increase,0.37727272727272726,1.0,0.9961333333333333,14.138666666666666,0.9806666666666667
cooperation_increase,0.41818181818181815,1.0,1.0,14.973999999999998,1.0
cooperation_increase,0.45909090909090905,1.0,0.9988000000000001,13.758000000000001,0.9940000000000001
cooperation_increase,0.5,1.0,0.9997333333333334,14.330666666666668,0.9986666666666667
q,0.2,1.0,0.9996,14.482,0.9979999999999999
q,0.27272727272727276,1.0,0.9998666666666667,13.882666666666667,0.9993333333333334
q,0.34545454545454546,1.0,0.9973333333333333,13.843333333333334,0.9866666666666667
q,0.4181818181818182,1.0,0.9984000000000001,14.166000000000002,0.992
q,0.49090909090909096,1.0,0.9990666666666668,13.880666666666668,0.9953333333333333
q,0.5636363636363637,1.0,0.9977333333333332,14.290666666666667,0.9886666666666667
q,0.6363636363636365,1.0,0.9976000000000002,14.357999999999999,0.988
q,0.7090909090909092,1.0,0.9985333333333334,14.764000000000001,0.9926666666666666
q,0.781818181818182,1.0,0.9964000000000001,14.365333333333332,0.9819999999999999
q,0.8545454545454547,1.0,0.9985333333333334,14.227333333333334,0.9926666666666666
q,0.9272727272727275,1.0,0.9988000000000001,14.509333333333332,0.9940000000000001
q,1.0,1.0,0.9997333333333334,14.664666666666667,0.9986666666666667
trust_decrease,0.05,1.0,1.0,14.340666666666666,1.0
trust_decrease,0.09090909090909091,1.0,0.9992000000000001,14.461333333333334,0.996
trust_decrease,0.13181818181818183,1.0,0.9982666666666665,14.556,0.9913333333333334
trust_decrease,0.17272727272727273,1.0,0.9968,14.573333333333332,0.984
trust_decrease,0.21363636363636362,1.0,1.0,15.324,1.0
trust_decrease,0.2545454545454545,1.0,0.9994666666666667,14.946666666666667,0.9973333333333333
trust_decrease,0.29545454545454547,1.0,0.9992000000000001,13.959999999999999,0.996
trust_decrease,0.33636363636363636,1.0,0.9975999999999999,13.776000000000002,0.988
trust_decrease,0.37727272727272726,1.0,0.9989333333333335,13.861333333333333,0.9946666666666667
trust_decrease,0.41818181818181815,1.0,0.9962666666666667,14.225333333333333,0.9813333333333333
trust_decrease,0.45909090909090905,1.0,0.9985333333333334,14.029333333333334,0.9926666666666666
trust_decrease,0.5,1.0,0.9975999999999999,14.71,0.988
