cond_coop1,cond_coop2,cond_coop3,cond_coop4,cond_coop5,cond_coop6,cond_coop7,cond_coop8,coop1,coop2,coop3,coop4,fully_noncoop1,fully_noncoop2,fully_noncoop3,fully_noncoop4,noncoop1,noncoop2,noncoop3,noncoop4,total_catch,total_biomass,biomass_inside_MPA,biomass_outside_MPA
0,0,1,0,0,0,0,3,0,0,0,0,0,1,2,0,2,0,1,0,10,107,64,43
0,0,1,0,0,1,0,0,0,1,1,0,2,1,1,0,1,0,0,0,9,104,69,35
1,0,0,3,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,9,109,66,43
1,0,0,1,0,0,1,0,0,0,0,0,4,7,0,0,1,0,0,0,15,107,68,39
0,0,0,3,0,0,1,0,0,2,0,0,0,4,0,0,0,4,0,0,14,105,79,26
0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,109,72,37
0,4,0,4,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,113,63,50
0,0,0,2,4,0,0,0,0,0,0,1,1,3,6,0,0,0,0,1,18,114,63,51
3,4,0,0,0,3,0,0,0,0,0,1,0,2,5,0,0,1,0,0,19,108,65,43
1,3,1,0,0,0,0,0,1,0,0,0,2,7,0,0,0,0,0,0,15,98,67,31
4,1,0,0,2,0,1,0,0,0,0,0,0,4,0,0,0,2,0,1,15,97,65,32
1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,97,68,29
1,0,0,0,4,0,0,1,0,4,0,0,1,0,0,1,0,0,0,1,13,102,71,31
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,101,64,37
1,0,0,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,8,106,60,46
0,1,0,5,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,12,108,56,52
0,0,1,3,0,0,0,0,1,0,0,1,4,0,2,3,0,0,0,0,15,108,53,55
0,0,4,0,2,0,0,2,0,1,0,0,2,2,0,0,1,0,0,0,14,101,49,52
1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,3,1,2,0,11,98,59,39
0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,5,0,12,104,58,46
0,0,0,1,3,0,0,1,0,0,0,1,1,0,0,1,0,0,2,0,10,103,56,47
1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,2,0,3,0,0,11,106,50,56
0,2,0,4,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,11,102,50,52
2,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,12,102,47,55
0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,4,0,14,97,50,47
0,0,1,0,3,0,0,0,0,0,0,1,4,2,5,0,0,0,0,0,16,95,55,40
0,2,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,1,9,91,54,37
0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,3,10,94,58,36
2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,10,95,60,35
0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,2,2,0,1,13,96,68,28
0,4,0,1,4,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,13,101,67,34
0,1,0,3,0,0,0,0,1,0,2,0,2,4,2,0,0,0,1,0,16,104,70,34
3,0,0,0,1,3,0,0,0,0,0,0,2,2,2,0,0,0,1,0,14,99,70,29
0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,98,69,29
0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,1,0,1,0,8,108,64,44
